,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,一,76,1,306C,10,1,イチ    イツ    ひと-    ひと.つ    Name Readings:  かず    い    いっ    いる    かつ    かづ    てん    はじめ    ひ    ひとつ    まこと    ,one 
,七,1151,7,3C37,10,2,シチ    なな    なな.つ    なの    Name Readings:  し    しっ    な    ひち    ,seven 
,三,1050,3,3B30,10,3,サン    ゾウ    み    み.つ    みっ.つ    Name Readings:  か    さ    さい    さえ    さぶ    ざ    ざえ    ざぶ    そう    ぞ    ただ    みつ    みん    も    や    ,three 
,上,1385,49,3E65,10,3,ジョウ    ショウ    シャン    うえ    -うえ    うわ-    かみ    あ.げる    -あ.げる    あ.がる    -あ.がる    あ.がり    -あ.がり    のぼ.る    のぼ.り    のぼ.せる    のぼ.す    よ.す    Name Readings:  あおい    あげ    い    か    かき    かず    かん ,"above, up "
,下,216,50,323C,10,3,カ    ゲ    した    しも    もと    さ.げる    さ.がる    くだ.る    くだ.り    くだ.す    -くだ.す    くだ.さる    お.ろす    お.りる    Name Readings:  さか    しと    ,"below, down, descend, give, low, inferior "
,中,1856,39,4366,10,4,チュウ    なか    うち    あた.る    Name Readings:  あたる    かなえ    ,"in, inside, middle, mean, center "
,九,633,9,3665,10,2,キュウ    ク    ここの    ここの.つ    Name Readings:  いちじく    いちのく    この    ひさし    ,nine 
,二,2151,2,4673,10,2,ニ    ジ    ふた    ふた.つ    ふたた.び    Name Readings:  おと    つぐ    にい    は    ふ    ふたつ    ふだ    わ    ,two 
,五,814,5,385E,10,4,ゴ    いつ    いつ.つ    Name Readings:  い    さ    さつ    ち    ふ    み    め    ,five 
,人,1455,951,3F4D,10,2,ジン    ニン    ひと    -り    -と    Name Readings:  じ    と    ね    ひこ    ふみ    ,person 
,休,527,965,3559,10,6,キュウ    やす.む    やす.まる    やす.める    ,"rest, day off, retire, sleep "
,先,1576,248,4068,10,6,セン    さき    ま.ず    Name Readings:  ぽん    ,"before, ahead, previous, future, precedence "
,入,2162,779,467E,10,2,ニュウ    ジュ    い.る    -い.る    -い.り    い.れる    -い.れ    はい.る    Name Readings:  いり    いる    に    の    りり    ,"enter, insert "
,八,2268,8,482C,10,2,ハチ    や    や.つ    やっ.つ    よう    Name Readings:  な    は    はっ    はつ    やち    やつ    T2はちがしら    ,eight 
,六,2941,6,4F3B,10,4,ロク    リク    む    む.つ    むっ.つ    むい    Name Readings:  く    むつ    ろっ    ろつ    ,six 
,円,157,1811,315F,10,4,エン    まる.い    まる    まど    まど.か    まろ.やか    Name Readings:  つぶら    のぶ    まどか    みつ    ,"circle, yen, round "
,出,1270,767,3D50,10,5,シュツ    スイ    で.る    -で    だ.す    -だ.す    い.でる    い.だす    Name Readings:  いず    いづ    いで    じ    すっ    すつ    てん    ,"exit, leave "
,力,2867,858,4E4F,10,2,リョク    リキ    リイ    ちから    Name Readings:  じから    つとむ    ,"power, strong, strain, bear up, exert "
,十,1251,10,3D3D,10,2,ジュウ    ジッ    ジュッ    とお    と    Name Readings:  い    か    ぎ    さ    し    そ    そう    ち    とう    ね    ま    る    わ    ,ten 
,千,1577,40,4069,10,3,セン    ち    Name Readings:  かず    ゆき    ,thousand 
,口,845,11,387D,10,3,コウ    ク    くち    ,mouth 
,右,100,78,3126,10,5,ウ    ユウ    みぎ    Name Readings:  あき    すけ    ,right 
,名,2662,112,4C3E,10,6,メイ    ミョウ    な    -な    Name Readings:  と    ,"name, noted, distinguished, reputation "
,四,1079,4,3B4D,10,5,シ    よ    よ.つ    よっ.つ    よん    Name Readings:  あ    つ    よつ    ,four 
,土,2032,150,455A,10,3,ド    ト    つち    Name Readings:  つ    つく    は    ひじ    ,"soil, earth, ground, Turkey "
,夕,2754,109,4D3C,10,3,セキ    ゆう    Name Readings:  ゆ    ,evening 
,大,1763,107,4267,10,3,ダイ    タイ    おお-    おお.きい    -おお.いに    Name Readings:  うふ    お    おう    た    たかし    とも    はじめ    ひろ    ひろし    まさ    まさる    もと    わ    ,"large, big "
,天,1997,428,4537,10,4,テン    あまつ    あめ    あま-    Name Readings:  あき    あも    た    たかし    て    なま    ,"heavens, sky, imperial "
,女,1309,98,3D77,10,3,ジョ    ニョ    ニョウ    おんな    め    Name Readings:  おな    た    つき    な    ,"woman, female "
,子,1084,95,3B52,10,3,シ    ス    ツ    こ    -こ    ね    Name Readings:  い    き    ぎ    く    け    ねっ    ,"child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac "
,字,1124,185,3B7A,10,6,ジ    あざ    あざな    -な    ,"character, letter, word, section of village "
,学,338,324,3358,10,8,ガク    まな.ぶ    Name Readings:  たか    のり    ,"study, learning, science "
,小,1330,105,3E2E,10,3,ショウ    ちい.さい    こ-    お-    さ-    Name Readings:  いさら    こう    さざ    しゃお    ちいさ    ,"little, small "
,山,1053,768,3B33,10,3,サン    セン    やま    Name Readings:  さ    やの    やん    ,mountain 
,川,1582,127,406E,10,3,セン    かわ    Name Readings:  か    こ    さわ    T2さんぼんがわ    ,"stream, river "
,左,964,77,3A38,10,5,サ    シャ    ひだり    Name Readings:  そ    ,left 
,年,2177,1036,472F,10,6,ネン    とし    Name Readings:  ね    ,year 
,手,1202,637,3C6A,10,4,シュ    ズ    て    て-    -て    た-    ,hand 
,文,2468,1725,4A38,10,4,ブン    モン    ふみ    あや    Name Readings:  かざり    ふ    も    T2ぶんにょう    ,"sentence, literature, style, art, decoration, figures, plan "
,日,2160,12,467C,10,4,ニチ    ジツ    ひ    -び    -か    Name Readings:  あ    あき    いる    く    くさ    こう    す    たち    に    にっ    につ    へ    ,"day, sun, Japan "
,早,1663,26,4161,10,6,ソウ    サッ    はや.い    はや    はや-    はや.まる    はや.める    さ-    Name Readings:  さか    さわ    そ    わ    ,"early, fast "
,月,736,13,376E,10,4,ゲツ    ガツ    つき    Name Readings:  おと    がっ    す    ずき    もり    ,"month, moon "
,木,2690,195,4C5A,10,4,ボク    モク    き    こ-    Name Readings:  ぐ    も    もと    ,"tree, wood "
,本,2598,211,4B5C,10,5,ホン    もと    Name Readings:  まと    ,"book, present, main, true, real, counter for long things "
,村,1720,208,423C,10,7,ソン    むら    Name Readings:  え    むた    ら    ,"town, village "
